"","station","log","lat","type","dist","elevation"
"579",111121,126.9747,37.5643,"공공시설지역",0,47
"622",111123,127.005,37.572,"상업지역",0,27
"6221",111131,127.0048,37.54,"기타나지",0,47
"6222",111141,127.0925,37.5472,"공공시설지역",0,44
"6223",111142,127.0419,37.5432,"기타초지",0,15
"6224",111151,127.094,37.5849,"공공시설지역",0,45
"6225",111152,127.0289,37.5758,"공공시설지역",0,22
"6226",111161,127.0273,37.6067,"공공시설지역",0,42
"620",111171,127.029,37.6542,"활엽수림",0,66
"5791",111181,126.9348,37.6098,"교통시설지역",0,43
"5792",111191,126.9378,37.5767,"기타초지",0,85
"5793",111201,126.9456,37.5498,"공공시설지역",0,21
"578",111212,126.8351,37.5447,"상업지역",0,22
"590",111221,126.8897,37.4985,"기타나지",0,18
"5794",111231,126.8974,37.525,"상업지역",0,21
"5901",111241,126.9715,37.4809,"교통시설지역",0,32
"5902",111251,126.9271,37.4874,"주거지역",0,26
"6227",111261,127.0481,37.5176,"공공시설지역",0,50
"5795",111262,126.9945,37.5046,"상업지역",0,19
"6228",111273,127.1165,37.5218,"공공시설지역",0,23
"623",111274,127.1368,37.545,"주거지역",0,38
"5903",111281,126.9083,37.4524,"주거지역",0,31
"6201",111291,127.0288,37.6379,"공공시설지역",0,34
"5781",111301,126.8587,37.5234,"주거지역",0,18
"6202",111311,127.0679,37.6574,"상업지역",0,35
"361",221112,129.0305,35.0999,"상업지역",0,12
"359",221172,129.0877,35.1303,"공공시설지역",0,16
"331",221181,128.9842,35.1462,"공공시설지역",0,8
"3591",221182,129.0197,35.2161,"주거지역",0,26
"333",221202,128.9669,35.083,"공공시설지역",0,4
"3592",221152,129.064,35.1531,"공공시설지역",0,14
"3593",221221,129.0783,35.1847,"공공시설지역",0,13
"3611",221141,129.0799,35.0598,"침엽수림",0,51
"354",221191,129.0895,35.2755,"교통시설지역",0,98
"360",221192,129.1742,35.1706,"교통시설지역",0,29
"3311",221211,128.9552,35.21,"기타나지",0,5
"332",221212,128.855,35.0943,"공업지역",0,13
"3601",221231,129.2158,35.2387,"상업지역",0,33
"3594",221251,129.0927,35.2298,"주거지역",0,21
"3595",221271,129.1078,35.1527,"공공시설지역",0,51
"3596",221163,129.1043,35.2049,"주거지역",0,19
"355",221233,129.1802,35.3256,"공공시설지역",0,63
"3597",221241,129.0455,35.1294,"주거지역",0,15
"3612",221281,129.0172,35.1145,"주거지역",0,47
"3312",221282,128.9851,35.1744,"기타나지",0,6
"3598",221283,129.023,35.1552,"교통시설지역",0,44
"3331",221284,128.9737,35.1052,"기타나지",0,19
"3599",221193,129.121,35.1832,"공업지역",0,8
"3613",221142,129.0596,35.0908,"주거지역",0,90
"35910",221183,129.0102,35.2334,"주거지역",0,12
"280",422114,128.5841,35.8743,"기타나지",0,41
"281",422115,128.6316,35.8305,"공공시설지역",0,80
"2811",422121,128.6953,35.8716,"공공시설지역",0,43
"2801",422132,128.5453,35.8696,"기타나지",0,58
"2802",422141,128.5711,35.8455,"공공시설지역",0,76
"278",422153,128.5629,35.8943,"공공시설지역",0,29
"279",422154,128.6331,35.8898,"주거지역",0,37
"2781",422155,128.5507,35.923,"공공시설지역",0,32
"2812",422161,128.64,35.8653,"공공시설지역",0,64
"277",422171,128.4887,35.8379,"공업지역",0,23
"291",422201,128.4423,35.7002,"밭",0,49
"2813",422203,128.6976,35.8376,"공공시설지역",0,67
"2803",422204,128.5287,35.8167,"기타나지",0,45
"2771",422205,128.4572,35.8649,"주거지역",0,35
"2804",422206,128.5411,35.8344,"주거지역",0,55
"586",823611,126.6348,37.4684,"공공시설지역",0,20
"5861",823621,126.6436,37.474,"교통시설지역",0,17
"5862",823631,126.7241,37.4496,"주거지역",0,31
"5863",823632,126.6498,37.4639,"공공시설지역",0,28
"5864",823641,126.7243,37.5,"공공시설지역",0,17
"576",823651,126.6778,37.5427,"교통시설지역",0,31
"5761",823652,126.6614,37.602,"주거지역",0,31
"5762",823662,126.7303,37.5462,"공공시설지역",0,40
"5865",823671,126.6963,37.4089,"공업지역",0,8
"5763",823681,126.6746,37.5027,"주거지역",0,17
"574",823691,126.4634,37.7645,"침엽수림",15482.2659012432,16
"5866",823701,126.6786,37.4096,"공공시설지역",0,10
"582",823702,126.4885,37.4958,"기타나지",0,10
"5867",823704,126.7263,37.4042,"기타나지",0,14
"5764",823801,126.6984,37.5945,"주거지역",0,31
"5868",823706,126.6547,37.3821,"공업지역",0,-32768
"5765",823705,126.6373,37.5366,"논",0,7
"5741",823802,126.4913,37.6406,"주거지역",1731.16047803304,13
"5766",823803,126.7364,37.5128,"위락시설지역",0,12
"584",831493,126.4835,37.256,"주거지역",0,25
"203",324115,126.9233,35.1458,"공공시설지역",0,59
"2031",324121,126.8885,35.1549,"공공시설지역",0,51
"2032",324133,126.9322,35.1739,"공공시설지역",0,63
"202",324135,126.8603,35.2293,"공업지역",0,27
"2021",324141,126.7988,35.1407,"주거지역",0,18
"2022",324142,126.8078,35.2044,"공업지역",0,34
"2033",324155,126.8933,35.1319,"주거지역",0,45
"205",324124,126.8961,35.099,"논",0,73
"204",324148,126.7696,35.1238,"하우스재배지",0,15
"448",525111,127.4172,36.3728,"공업지역",0,48
"446",525112,127.4047,36.4469,"공공시설지역",0,34
"4481",525121,127.4378,36.3161,"주거지역",0,61
"447",525141,127.3739,36.3724,"교통시설지역",0,50
"4471",525142,127.3185,36.3682,"상업지역",0,65
"4482",525161,127.4372,36.3444,"주거지역",0,67
"4472",525171,127.3667,36.3045,"상업지역",0,56
"4483",525172,127.3835,36.3544,"공공시설지역",0,56
"4484",525162,127.4601,36.3025,"기타나지",0,84
"4473",525143,127.3345,36.3352,"논",0,48
"351",238120,129.4184,35.5028,"교통시설지역",0,51
"350",238121,129.32,35.5541,"공공시설지역",0,11
"356",238122,129.339,35.4973,"교통시설지역",0,22
"3501",238123,129.3593,35.5164,"공업지역",0,19
"3502",238124,129.3258,35.5261,"공공시설지역",0,10
"3503",238125,129.3318,35.5444,"상업지역",0,7
"3504",238127,129.3081,35.5347,"주거지역",0,26
"3561",238128,129.3145,35.4348,"상업지역",0,32
"3505",238129,129.2608,35.5593,"하우스재배지",0,7
"3506",238130,129.3711,35.5595,"공공시설지역",0,10
"3562",238371,129.3376,35.4381,"공업지역",0,25
"3563",238373,129.3059,35.4931,"주거지역",0,8
"348",238374,129.3552,35.6256,"기타나지",0,33
"346",238375,129.1138,35.5583,"기타나지",0,103
"3507",238376,129.3195,35.5679,"밭",0,48
"3511",238381,129.4267,35.5088,"주거지역",0,34
"353",238377,129.2091,35.4615,"논",0,54
"431",541111,127.2921,36.5925,"공공시설지역",0,49
"428",541112,127.2472,36.5119,"침엽수림",0,43
"445",541113,127.2514,36.4761,"주거지역",0,32
"4311",541114,127.3703,36.527,"공공시설지역",0,30
"638",131111,127.0105,37.2838,"공공시설지역",0,65
"6381",131112,127.0292,37.2634,"공공시설지역",0,49
"6382",131113,127.0295,37.2855,"주거지역",0,72
"652",131114,127.0563,37.247,"공공시설지역",0,39
"592",131115,126.9753,37.2928,"공공시설지역",0,50
"5921",131117,126.9766,37.2526,"주거지역",0,28
"5922",131118,126.9572,37.2662,"밭",0,39
"5904",131141,126.9306,37.3901,"상업지역",0,45
"5905",131142,126.958,37.3941,"공공시설지역",0,35
"5906",131144,126.9526,37.3813,"교통시설지역",0,45
"5907",131145,126.9176,37.4051,"공공시설지역",0,30
"637",131121,127.1554,37.4494,"주거지역",0,88
"6383",131123,127.1114,37.3615,"공공시설지역",0,60
"636",131124,127.119,37.3826,"공공시설지역",0,45
"6371",131126,127.1312,37.4572,"공공시설지역",0,58
"6361",131128,127.0807,37.3905,"논",0,69
"6372",131129,127.1645,37.4329,"교통시설지역",0,73
"6203",131131,127.0408,37.7356,"상업지역",0,47
"6204",131132,127.0477,37.7463,"공공시설지역",0,49
"589",131161,126.8698,37.4763,"상업지역",0,21
"5908",131163,126.8849,37.4522,"기타나지",0,8
"591",131191,126.8304,37.3221,"공공시설지역",0,30
"5911",131192,126.8122,37.3346,"상업지역",0,14
"5912",131193,126.8723,37.2963,"주거지역",0,29
"5913",131194,126.8019,37.3316,"공공시설지역",0,30
"5914",131195,126.8611,37.332,"주거지역",0,21
"599",131196,126.5853,37.2437,"주거지역",0,17
"5915",131197,126.8335,37.3049,"공공시설지역",0,10
"409",131341,127.1128,36.9923,"공공시설지역",0,32
"373",131342,126.9314,36.9859,"공공시설지역",0,25
"372",131343,126.8455,36.9746,"공업지역",0,8
"654",131344,127.0601,37.0816,"주거지역",0,22
"606",131345,126.9182,37.0203,"기타나지",0,38
"5909",131201,126.9943,37.4239,"기타나지",0,59
"6362",131202,127.0023,37.4491,"공공시설지역",0,35
"6231",131211,127.1297,37.5945,"공공시설지역",0,44
"6232",131212,127.1381,37.6186,"주거지역",0,33
"5923",131222,126.9504,37.3194,"주거지역",0,52
"5924",131223,126.976,37.3477,"주거지역",0,63
"5782",131381,126.8419,37.6249,"침엽수림",0,49
"577",131382,126.8134,37.6855,"밭",5434.18179564811,50
"5771",131384,126.8867,37.6664,"밭",0,37
"5783",131385,126.7564,37.6683,"내륙수",4805.68223626486,17
"640",131392,127.2579,37.4112,"상업지역",0,49
